t,x,y,z
0.0,-1.0,-1.5,0.3
0.03333333333333333,-1.0000028748082712,-1.499994766577873,0.3
0.06666666666666667,-1.00004315139697,-1.4999207827136236,0.3
0.1,-1.0002046587106632,-1.4996209391103579,0.3
0.13333333333333333,-1.0006051093396637,-1.4988686735001695,0.3
0.16666666666666666,-1.001379981193736,-1.4973941927443577,0.3
0.2,-1.0026688141489157,-1.4949071379905339,0.3
0.23333333333333334,-1.0046037828758814,-1.4911158852469701,0.3
0.26666666666666666,-1.0073004070583262,-1.4857436737345304,0.3
0.3,-1.0108502602097658,-1.4785417543765327,0.3
0.3333333333333333,-1.0153155382972257,-1.4692997507868915,0.3
0.36666666666666664,-1.0207253493802533,-1.4578534251168809,0.3
0.4,-1.0270735854736908,-1.4440900411208706,0.3
0.43333333333333335,-1.0343182378426545,-1.427951516801378,0.3
0.4666666666666667,-1.0423820169381628,-1.4094355589937844,0.3
0.5,-1.0511541381818499,-1.3885949722510584,0.3
0.5333333333333333,-1.0604931348082145,-1.36553533438884,0.3
0.5666666666666667,-1.0702305589728371,-1.3404112310512222,0.3
0.6,-1.080175432335015,-1.3134212416575861,0.3
0.6333333333333333,-1.090119307323251,-1.2848018690908287,0.3
0.6666666666666666,-1.0998418002920407,-1.2548206054873332,0.3
0.7,-1.109116457778401,-1.2237683264890276,0.3
0.7333333333333333,-1.1177168170665779,-1.191951206317879,0.3
0.7666666666666666,-1.1254225222693794,-1.1596823460331676,0.3
0.8,-1.1320253571345718,-1.1272733073318884,0.3
0.8333333333333334,-1.1373350557847839,-1.0950257442526283,0.3
0.8666666666666667,-1.1411847525993606,-1.063223325143262,0.3
0.9,-1.143435932446605,-1.032124137252815,0.3
0.9333333333333333,-1.143982742474853,-1.0019537663078404,0.3
0.9666666666666667,-1.1427555266708254,-0.9728992434336564,0.3
1.0,-1.1397234443936908,-0.9451040517807852,0.3
1.0333333333333332,-1.1397234443936908,-0.9451040517807852,0.3
1.0666666666666667,-1.1283235834209413,-0.8936268514449749,0.3
1.1,-1.1200961669413458,-0.8699878119069048,0.3
1.1333333333333333,-1.110341212653886,-0.8476945508347583,0.3
1.1666666666666667,-1.099219458531923,-0.8266484658081868,0.3
1.2,-1.0869191602884256,-0.8067104721794242,0.3
1.2333333333333334,-1.0736484115764173,-0.7877088137258729,0.3
1.2666666666666666,-1.0596254378326715,-0.7694494718906788,0.3
1.3,-1.0450667249731005,-0.7517293659715941,0.3
1.3333333333333333,-1.0301728441482698,-0.7343525366185564,0.3
1.3666666666666667,-1.0151118337675056,-0.7171495050002359,0.3
1.4,-0.9999999999999962,-0.7000000000000058,0.3
1.4333333333333333,-1.0,-0.7,0.3
1.4666666666666666,-0.9848613707990526,-0.6828227556848137,0.3000035433932233
1.5,-0.9697476752447102,-0.665598419905842,0.3000531244841157
1.5333333333333332,-0.9547139073030756,-0.6482231271353442,0.3002516797323201
1.5666666666666667,-0.9398356105743597,-0.6305542003405583,0.3007433697375234
1.6,-0.925197306748035,-0.6124320058288312,0.30169371051223887
1.6333333333333333,-0.9108828836382563,-0.5936981070896566,0.30327287635055217
1.6666666666666667,-0.8969678160244859,-0.5742099570700485,0.3056419760680845
1.7,-0.8835130925222593,-0.553852368319679,0.30894210438842407
1.7333333333333334,-0.8705607217090287,-0.5325460004422116,0.3132859702512787
1.7666666666666666,-0.858130690730019,-0.5102531042892584,0.3187519038176017
1.8,-0.8462192496090357,-0.48698076233339044,0.32538004394694314
1.8333333333333333,-0.8347983944891573,-0.4627818646566305,0.3331705079222788
1.8666666666666667,-0.8238164230282519,-0.4377540599908578,0.342083345197569
1.9,-0.8131994351742537,-0.41203692124655433,0.3520400769432996
1.9333333333333333,-0.8028536525451346,-0.38580756496632124,0.36292662316525726
1.9666666666666666,-0.7926684296385083,-0.35927496413959586,0.37459741917179173
2.0,-0.7825198300958036,-0.3326731938149972,0.38688052316481625
2.033333333333333,-0.7722746412459439,-0.3062538489467305,0.3995835167297999
2.0666666666666664,-0.7722746412459439,-0.3062538489467305,0.3995835167297999
2.1,-0.750941404396021,-0.2550070431322183,0.4254164832702046
2.1333333333333333,-0.739580280796185,-0.23069533224536193,0.43811947683518815
2.1666666666666665,-0.7275854853325266,-0.20758041924770487,0.4504025808282127
2.2,-0.7148441074548579,-0.18587555505955533,0.46207337683474714
2.2333333333333334,-0.7012601520286108,-0.16576204294050678,0.4729599230567047
2.2666666666666666,-0.6867580721332752,-0.1473825661942766,0.48291665480243506
2.3,-0.6712857259398326,-0.13083560359903168,0.491829492077725
2.3333333333333335,-0.6548166308921238,-0.11617117199964277,0.49961995605306075
2.3666666666666667,-0.6373513884170874,-0.10338813549828729,0.5062480961824019
2.4,-0.6189181523888025,-0.09243332067983501,0.5117140297487247
2.433333333333333,-0.5995720145712793,-0.08320267730844155,0.5160578956115793
2.466666666666667,-0.5793931802649214,-0.07554472393178735,0.5193580239319181
2.5,-0.5584838073816114,-0.06926651782937787,0.5217271236494514
2.533333333333333,-0.5369633821733457,-0.06414238874135103,0.5233062894877651
2.5666666666666664,-0.5149625048393548,-0.05992567581420516,0.5242566302624792
2.6,-0.49261495823665735,-0.05636370719989203,0.5247483202676824
2.6333333333333333,-0.4700479329189672,-0.05321626174468308,0.5249468755158869
2.6666666666666665,-0.4473702817289017,-0.05027775220427155,0.5249964566067791
2.7,-0.42465867716843,-0.04740336942149748,0.5250000000000025
2.7333333333333334,-0.42465867716842287,-0.04740336942150014,0.525
2.7666666666666666,-0.4016549913530581,-0.04450262088222438,0.525
